id,cc_t,cc_n,cc_mc,a,ac_t
90,jcb,3537573821277151,CLP,false,XS
91,visa-electron,4405815897189407,PHP,false,2XL
92,jcb,3582321236485058,MMK,true,M
93,laser,6709071538252604072,NOK,false,M
94,jcb,3552143004193201,BRL,false,XL
95,jcb,3566704530131678,IRR,true,L
96,jcb,3529660745946274,NGN,true,S
97,jcb,3534755524338454,CNY,false,M
98,americanexpress,337941961520029,THB,true,XL
99,jcb,3566330233175927,GHS,true,S
100,mastercard,5108751205918780,IDR,false,3XL
101,mastercard,5007669305912390,IDR,false,2XL
102,jcb,3533688810353765,PLN,false,M
103,laser,630490387334681196,CNY,true,XL
104,mastercard,5100138682832254,CNY,true,XS
105,jcb,3542919066117847,BRL,true,XS
106,diners-club-international,36618339630946,EUR,true,S
107,maestro,50385042322306988,RUB,true,XL
108,jcb,3562644864684369,IDR,true,3XL
109,jcb,3551903656967967,CNY,true,S
110,jcb,3534978827555224,NGN,false,XS
111,jcb,3568160572157451,DKK,false,S
112,jcb,3535754094758364,EUR,true,XS
113,diners-club-carte-blanche,30427735105289,BRL,false,2XL
114,switch,6331102926419934449,IDR,false,XS
115,visa-electron,4175005519006928,CNY,true,XS
116,china-unionpay,560225960709459868,CNY,true,M
117,maestro,060465082170835284,BRL,true,S
118,americanexpress,377363726782250,MZN,true,2XL
119,switch,6333508943019122,BRL,true,L
120,diners-club-us-ca,5451298174035108,IDR,false,XS
121,jcb,3538571156213220,MNT,false,L
122,visa,4055640954632,PHP,false,XL
123,china-unionpay,56022176057063285,JOD,true,L
124,jcb,3539258954558191,IDR,true,XS
125,visa-electron,4405777213695287,CZK,false,M
126,visa-electron,4026486735174354,CZK,true,XS
127,mastercard,5422881586823884,IDR,false,2XL
128,switch,5641829439933603,IDR,true,S
129,mastercard,5100145547642380,ALL,true,2XL
130,diners-club-enroute,201905741153420,BRL,false,S
131,jcb,3589259451618396,JPY,false,L
132,diners-club-carte-blanche,30451861896263,BOB,true,M
133,switch,6759582395641498162,RUB,false,L
134,laser,6706216113946939,RUB,true,L
135,maestro,5038292935966620,IDR,true,S
136,jcb,3566330506074369,CZK,true,XL
137,maestro,50385284089169213,IDR,true,2XL
138,jcb,3544858731415145,EUR,true,M
139,mastercard,5002359471279957,MYR,true,M
140,jcb,3566444023189749,PHP,false,L
141,visa-electron,4508245969816537,ARS,true,S
142,diners-club-international,36497955309873,MRO,true,3XL
143,diners-club-us-ca,5417457686831205,CNY,true,XS
144,mastercard,5233420526683857,MXN,true,XL
145,jcb,3540043538761256,ARS,true,3XL
146,mastercard,5048371207036797,CNY,true,S
147,switch,4936898538392547,IDR,true,L
148,china-unionpay,5602249646510422628,CNY,true,XL
149,jcb,3586704903527045,IDR,false,2XL
150,switch,6331107704239193,HRK,true,XL
151,diners-club-carte-blanche,30470394630288,IDR,true,3XL
152,laser,63045458733518760,CNY,true,XL
153,solo,6334721726340658330,TWD,false,XL
154,jcb,3544403571311052,CNY,true,3XL
155,mastercard,5100142955708233,CNY,true,S
156,jcb,3530221259371479,CZK,true,M
157,jcb,3557943178060853,KHR,true,2XL
158,jcb,3569011007844024,IDR,false,2XL
159,jcb,3542602185595370,IDR,false,XS
160,jcb,3550775743240884,AFN,true,XL
161,instapayment,6379681799144610,BRL,true,M
162,diners-club-enroute,201705710108920,EUR,false,3XL
163,jcb,3535682687119076,CZK,true,XL
164,laser,63048829285732743,CNY,false,XS
165,visa,4022992423012,PHP,true,XL
166,mastercard,5002354431208089,IDR,true,XS
167,jcb,3552612473946885,IDR,true,L
168,switch,4936591495104522683,CZK,true,S
169,jcb,3563951379119651,SEK,false,3XL
170,diners-club-us-ca,5594374181691940,CZK,true,S
171,jcb,3582627329134183,KMF,true,3XL
172,mastercard,5007663375556237,EUR,false,XS
173,jcb,3582376626090546,CZK,false,2XL
174,jcb,3576873014712663,EUR,false,L
175,mastercard,5100145123138282,IRR,false,3XL
176,diners-club-enroute,201405365097078,RUB,true,L
177,instapayment,6373170433976054,IDR,true,L
178,jcb,3565935822509277,BRL,true,M
179,jcb,3536338158678459,RUB,true,3XL
180,visa,4405022783127,EUR,true,3XL
181,diners-club-enroute,201766078775320,VND,false,XS
182,visa-electron,4508265717320236,PHP,false,XL
183,jcb,3588554625571666,TRY,true,L
184,laser,67716131079613730,CNY,true,XL
185,jcb,3566438483748713,CVE,true,XS
186,diners-club-carte-blanche,30594129206500,XAF,false,M
187,bankcard,5602245945270793,JPY,true,XL
188,jcb,3557702650368170,JOD,true,XS
189,visa-electron,4508358707488871,SEK,true,2XL
190,jcb,3570880705363702,CNY,false,S
191,maestro,5893073820232294518,EUR,false,XS
192,jcb,3573697326255274,MYR,true,L
193,instapayment,6396246695883437,RUB,false,L
194,jcb,3534176007127886,IDR,false,2XL
195,china-unionpay,560223715603514925,CZK,false,S
196,americanexpress,374283137598728,JPY,false,M
197,bankcard,5602226167115866,ARS,false,XS
198,switch,4936576353569957,CNY,true,2XL
199,jcb,3540193077754335,CNY,true,S
200,jcb,3554432474131058,CNY,false,3XL
201,jcb,3562813491293510,HRK,false,L
202,mastercard,5108756303589425,CNY,false,3XL
203,mastercard,5521230695354581,AOA,true,XS
204,visa,4041378962963,BDT,true,XS
205,bankcard,5602232994686160,EUR,true,S
206,jcb,3528076741965377,MYR,false,M
207,diners-club-enroute,201557064994250,CNY,true,2XL
208,jcb,3581365371299122,EUR,false,3XL
209,mastercard,5010129172891594,CNY,false,XS
210,jcb,3537707266228184,CNY,true,M
211,mastercard,5429198137172262,IDR,true,S
212,diners-club-enroute,201788015176982,CAD,true,XS
213,jcb,3588780031357990,BYR,true,M
214,mastercard,5108752623823362,CNY,true,2XL
215,jcb,3573085395551239,BRL,true,2XL
216,diners-club-carte-blanche,30384612906265,IDR,false,M
217,visa,4903396794878,BRL,true,M
218,mastercard,5100173144027664,MYR,false,M
219,maestro,50386492012342380,CNY,true,2XL
220,mastercard,5500135570547958,IDR,true,2XL
221,switch,4903674645932291287,CNY,false,XL
222,jcb,3555209974018301,MMK,true,XS
223,jcb,3541520350596760,AFN,true,XS
224,jcb,3532028214792865,JPY,true,S
225,jcb,3574499379973112,MUR,true,2XL
226,visa-electron,4405149211917024,CNY,false,3XL
227,jcb,3539984574514146,CNY,true,L
228,diners-club-enroute,201973362893245,CNY,true,M
229,americanexpress,376483688559982,NGN,false,3XL
230,mastercard,5147198547786868,AMD,false,L
231,jcb,3571900531539207,EUR,false,L
232,jcb,3567630556805433,EUR,false,3XL
233,jcb,3537822412505508,SEK,true,XS
234,mastercard,5400634199470270,ILS,true,2XL
235,diners-club-carte-blanche,30530518418835,KPW,false,L
236,jcb,3586647729031199,CNY,false,XS
237,mastercard,5002356897949049,EUR,false,3XL
238,jcb,3571302846336843,SEK,true,L
239,diners-club-us-ca,5422911328163800,CNY,false,L
240,jcb,3585440578096377,IDR,true,L
241,instapayment,6391369759209300,MKD,true,L
242,jcb,3537944313053402,EUR,true,2XL
243,jcb,3563810243167397,CNY,false,3XL
244,jcb,3580396449609639,PHP,false,XS
245,jcb,3567217080035545,PKR,false,S
246,americanexpress,337941991306001,PLN,false,XS
247,mastercard,5108751999374778,IDR,true,L
248,americanexpress,374288210184619,KZT,false,L
249,china-unionpay,560224858553092465,SZL,true,L
250,jcb,3550674304767106,CNY,false,XL
251,jcb,3562346824511720,AFN,false,3XL
252,switch,493693313772241580,UAH,false,XL
253,visa-electron,4913230502388649,MXN,false,2XL
254,mastercard,5010129479911392,SEK,false,S
255,visa-electron,4405552397067755,GBP,true,3XL
256,jcb,3565592485063892,AUD,false,3XL
257,diners-club-carte-blanche,30443064263672,PHP,true,L
258,maestro,5038062120013920661,IDR,true,L
259,mastercard,5100175751274265,THB,false,3XL
260,china-unionpay,5602218245456172,PHP,true,L
261,maestro,675916718194432364,MXN,false,2XL
262,china-unionpay,560222260937331812,CNY,true,2XL
263,jcb,3570632195908706,CNY,false,XS
264,jcb,3532467424468736,XOF,false,XS
265,bankcard,5610308350322887,YER,false,L
266,visa-electron,4175006571283405,CNY,true,XL
267,jcb,3589910964304417,CAD,false,L
268,americanexpress,346048250838127,ARS,true,XL
269,mastercard,5149668857791359,CNY,false,M
270,jcb,3557168217591607,CDF,true,L
271,jcb,3563499498259586,MMK,false,S
272,china-unionpay,5602234472542738668,IDR,true,2XL
273,maestro,58936342495034525,VND,false,XL
274,bankcard,5602224861415617,IDR,false,S
275,bankcard,5610111222648814,CNY,true,S
276,jcb,3566067375934295,IDR,false,XL
277,visa-electron,4913964555851612,RUB,false,XS
278,visa,4041595861247247,RUB,true,L
279,jcb,3557027530113574,IDR,true,XS
280,jcb,3560407965015517,PLN,true,XL
281,jcb,3577860913446385,PLN,false,L
282,visa,4041375541349,PHP,true,3XL
283,maestro,5020261522463960,SEK,true,M
284,maestro,0604764103261698481,RUB,false,2XL
285,visa-electron,4405213148834700,GBP,true,M
286,diners-club-carte-blanche,30140602925750,PEN,false,L
287,jcb,3574050845507891,PHP,true,3XL
288,jcb,3538262251718103,CNY,false,2XL
289,jcb,3589790035918118,MMK,false,XL
290,maestro,675974972473752898,EUR,false,M
291,china-unionpay,5602211873589836,ALL,false,XS
292,jcb,3586915990799251,EUR,true,2XL
293,maestro,5020635093218558,IDR,false,XS
294,jcb,3580238330031509,RUB,true,2XL
295,jcb,3534981516088168,CZK,true,XL
296,jcb,3576427707505494,BRL,true,L
297,jcb,3561698402210609,SDG,false,XL
298,diners-club-carte-blanche,30261753600248,JPY,false,XL
299,instapayment,6390929721801137,CNY,true,3XL
300,jcb,3529911817485513,BRL,false,XL
